pay_id,amount,clm_id,payer_id,payee_id
79719ddb,3360.59,e682c5fa,7d97b31e,a4153921
1564dc73,2529.36,902331fc,8a633c00,e2855a3e
e0afe471,8421.36,f95463a7,7d97b31e,e2855a3e
32663242,6420.3,7d0afea7,f7ba98b7,e2855a3e
2d30ebd6,2752.82,90d03ad2,fdb9def3,e2855a3e
30cdae48,4380.65,1ce6f9ea,1e8a1bf6,e2855a3e
bf59fd7f,3363.25,ebd0e945,f7ba98b7,e8521e23
2bc5ec4d,9827.49,685fc6fe,f7ba98b7,e8521e23
7d6b7fa8,7771.64,961d63a8,fdb9def3,e8521e23
97764d07,9080.84,b175c9f3,1e8a1bf6,e8521e23
624940bd,3418.58,1d731709,1e8a1bf6,9609adca
0e06374d,9126.73,90341f72,b9bc3bb4,9609adca
d748d04e,7389.98,f1d3a0aa,b9bc3bb4,9609adca
14e0942f,4534.11,4cfb1325,90e1dbbc,3a6072a0
439ab403,3168.79,5e2da85b,5027d27b,5ee45ece
1d6a40c0,5570.69,a30ed977,fdb9def3,5ee45ece
4d9466b5,237.5,3f2db221,f7ba98b7,5ee45ece
d372c00b,1015.77,5744ef2d,f7ba98b7,5ee45ece
fb8c07c3,4318.85,9fc7fb2a,fdb9def3,5ee45ece
4dcef85b,7984.42,3ffb7f4d,1e8a1bf6,ebcb1830
fdb60b91,331.69,4b1fa489,1e8a1bf6,ebcb1830
c8af84c2,726.7,2b9e4f05,b9bc3bb4,85776e9a
b406714d,874.48,2ffb506a,b9bc3bb4,85776e9a
6d3830d4,3636.72,e312002b,90e1dbbc,240c14be
f1d10477,7460.11,3da5894f,90e1dbbc,240c14be
f61bb509,1666.57,a4ac7d9d,adbe83f4,67aa82a4
57ab3a54,4714.84,c9114786,4542ad7c,6ca6da54
6a8cf5b2,5334.73,69b74c9e,d3ef723a,6ca6da54
983f7456,5371.8,0042a8dd,4542ad7c,bbc085c9
a5ce24a6,4596.04,254c65bd,4542ad7c,bbc085c9
c74e1cd0,1088.11,b3f3d9aa,4542ad7c,bbc085c9
4067b1ed,9085.39,679fbcc7,4542ad7c,bbc085c9
6862359,8983.76,066c1fa8,4542ad7c,fc3aea28
155c6d8b,56.3,b4ffb944,d3ef723a,fc3aea28
943ddea0,2104.18,d79b9372,4542ad7c,fc3aea28
bbc4b0aa,6383.09,44a789eb,4542ad7c,fc3aea28
d06908ec,7516.88,651e4b7f,d0f7285a,daeb4aad
5f80dc09,7259.16,39ecf466,d0f7285a,daeb4aad
c0c1c3c3,8989.21,74a58e3b,4542ad7c,f0c76711
8a51e60d,6000.22,43604a59,49b8c45d,4eb97ce8
67a56f4d,5352.29,1efe8eca,7b126f49,d6b5059a
3f8663ee,7175.7,b34acc85,7b126f49,d6b5059a
491c345f,7928.73,5adb1447,7b126f49,d6b5059a
46c25b16,2718.17,61e606a8,7b126f49,d6b5059a
765a0b41,3187.82,068c1a0f,42392d36,d6b5059a
395ae908,2582.62,4553c133,1277a380,df46a30f
24b666e4,1957.84,4af9b429,fae90811,76081fc8
8290525b,7475.47,a260c4ef,fae90811,76081fc8
cd900833,2657.47,424994be,49fedf32,52698ed2
479e5ad0,1296.87,89e4e47d,1b628014,52698ed2
